category_id,drink_id,drink_name,drink_en_name,drink_content,drink_zoomimg,drink_nutrition_info,kcal,fat,protein,sodium,sugars,caffeine,allergy,,,,,,,,
4,56,제주 청보리 크림 프라푸치노,Jeju Green Barley Cream Frappuccino,"[제주지역 한정음료] 제주 바람의 숲 가파도를 연상시키는
음료로 청보리의 풋풋하고 고소함이 함께 느껴지는 음료
제주 청보리 크림 프라푸치노로 
더욱 시원하게 가파도 길을 느껴보세요.",http://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9200000002668]_20200220135328820.jpg,Grande(그란데) / 473ml (16 fl oz),385,9,8,240,54,0,대두 / 우유,,,,,,,,
4,57,초콜릿 크림 칩 프라푸치노,Chocolate Cream Chip Frappuccino,"모카시럽과 자바칩이 혼합된 크림 프라푸치노로 휘핑크림, 초콜렛 드리즐된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168066]_20150806163214514.jpg,Tall(톨) / 355ml (12 fl oz),370,7.5,11,266,44,10,대두 / 우유 / 밀,,,,,,,,
4,58,피스타치오 크림 프라푸치노,Pistachio Cream Frappuccino,"스타벅스에 없던 새로운 맛,
젤라또를 먹는 듯한 크리미함과 고소함이 극에 달한 
피스타치오 크림 프라푸치노를 만나보세요.",http://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002763]_20200416143004026.jpg,Tall(톨) / 355ml (12 fl oz),355,8,8,230,39,0,땅콩 / 우유,,,,,,,,
4,59,화이트 딸기 크림 프라푸치노,White Strawberry Cream Frappuccino,"달콤한 딸기 음료의 새로운 버전.
딸기에 눈이 소복이 쌓인 것 같은 비주얼에 풍부한 딸기 맛을
가볍게 즐길 수 있는 누구나 좋아하는 딸기 음료.
바닐라 크림 베이스로 더욱 깊은 딸기의 맛과 풍미를 즐겨보세요",http://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002161]_20190423145431290.jpg,Tall(톨) / 355ml (12 fl oz),360,11,4,170,54,0,대두 / 우유 / 토마토,,,,,,,,
4,60,화이트 타이거 프라푸치노,White Tiger Frappuccino,"밀크 쉐이크 같은 부드럽고 달콤한 바닐라 크림 프라푸치노에 깊은 풍미의 단맛을 가진 흑당시럽이 어우러져 용인에버랜드 백호의 줄무늬를 형상화한 부드럽고 달콤한 프라푸치노

* 용인에버랜드R 매장에서만 판매하는 음료입니다",http://image.istarbucks.co.kr/upload/store/skuimg/2019/07/[9200000002403]_20190711125729602.jpg,Grande(그란데) / 473ml (16 fl oz),410,14,5,220,57,0,우유,,,,,,,,
5,61,애플망고 요거트 블렌디드,Apple Mango Yogurt Blended,"말랑한 애플망고 과육과 유산균이 살아있는 부드러운 요거트가
산뜻하게 어우러진 애플망고 요거트 블렌디드를 만나보세요.",http://image.istarbucks.co.kr/upload/store/skuimg/2020/06/[9200000000032]_20200608092253116.jpg,Tall(톨) / 355ml (12 fl oz),315,2.4,10,150,56,0,우유,,,,,,,,
5,62,망고 패션 후르츠 블렌디드,Mango Passion Fruit Blended,진한 블랙 티에 망고 패션 후르츠 주스가 조합된 아이스 블렌드 음료,http://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[167004]_20160902191636973.jpg,Tall(톨) / 355ml (12 fl oz),120,0,1,70,25,35,,,,,,,,,
5,63,딸기 요거트 블렌디드,Strawberry Yogurt Blended,딸기와 요거트의 상큼함이 가득 느껴지는 가벼운 컨셉의 블렌디드 음료입니다.,http://image.istarbucks.co.kr/upload/store/skuimg/2016/04/[9200000000044]_20160415132044486.jpg,Tall(톨) / 355ml (12 fl oz),250,0.9,8,128.4,48,0,우유 / 토마토,,,,,,,,
5,64,망고 바나나 블렌디드,Mango Banana Blended,인기 음료인 망고 패션후르츠 블렌디드에 신선한 바나나 1개가 통째로 들어간 달콤한 프라푸치노,http://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[169001]_20150723022552882.jpg,Grande(그란데) / 473ml (16 fl oz),270,1,4,110,48,0,우유,,,,,,,,
5,65,익스트림 티 블렌디드,Extreme Tea Blended,"시트러스한 베이스의 블렌디드에 매력적인 히비스커스 티(패션탱고티)가 어우러져 상큼함이 입안을 가득 채우는 익스트림 티 블렌디드

* 용인에버랜드R 매장에서만 판매하는 음료입니다",http://image.istarbucks.co.kr/upload/store/skuimg/2019/07/[9200000002404]_20190711125823581.jpg,Grande(그란데) / 473ml (16 fl oz),200,0,0,5,45,0,,,,,,,,,
5,66,자몽 셔벗 블렌디드,Grapefruit Sherbet Blended,"상큼함으로 끝까지 시원한 자몽 셔벗 블렌디드!
달콤 쌉싸름한 자몽과 상큼한 레모네이드가 얼음과 만나
셔벗처럼 가볍고 시원하게 즐길 수 있는 블렌디드 음료.",http://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002153]_20190423145048072.jpg,Tall(톨) / 355ml (12 fl oz),225,0,1,15,51,0,,,,,,,,,
5,67,제주 레드 빈 블렌디드,Jeju Red Bean Blended,"[제주지역 한정음료] 제주 화산송이를 형상화한 음료로
국내산 레드 빈으로 표현한 뉴트로 음료로 고급진 레드 빈의 맛을
제주 스타벅스에서 더욱 시원하게 즐겨보세요.",http://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9200000002671]_20200220135607977.jpg,Grande(그란데) / 473ml (16 fl oz),530,10,13,160,64,0,,,,,,,,,
5,68,제주 한라봉 블랙 티 블렌디드,Jeju Hallabong Black Tea Blended,"[제주지역 한정음료] 제주 공원에서 볼 수 있는 튤립을
연상시키는 상큼한 타입의 티 블렌디드 음료.
제주 한라봉 베이스와 블랙 티가 만나 상큼한 티 블렌디드를
제주 스타벅스에서 즐겨보세요.",http://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9200000002673]_20200220135746239.jpg,Grande(그란데) / 473ml (16 fl oz),445,0,1,5,108,13,,,,,,,,,
5,69,피치 & 레몬 블렌디드,Peach & Lemon Blended,"달콤한 복숭아와 새콤한 레몬, 말랑한 복숭아 젤리가 만난 
맑고 청량한 피치 & 레몬 블렌디드로 올 여름을 맞이해보세요.",http://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002766]_20200416143123646.jpg,Tall(톨) / 355ml (12 fl oz),190,0,0,45,27,0,복숭아,,,,,,,,
